soft skills,rotulos
responsabilidade,
escuta ativa,
adaptativo,
analitico,
analitica,
argumentação,
coaching,
comprometimento,
comunicação,
conceptual,
coflito de gestão,
coordenação,
criatividade,
pensamento crítico,
curiosidade,
decisão,
tomada de decisão,
detalhe,
diverso,
diversa,
ânsia,
inteligencia emocional,
entusiasmo,
ética,
flexibilidade,
meta,
hospitalidade,
imparcialidade,
influência,
pressão,
transparencia,
pensamento criativo,
engajado ,
engajada,
pensar fora da caixa,
intressado,
interessada,
tomar decisão,
julgamento,
inovação,
imaginação,
pragmático,
pragmática,
debates,
manifestar atenção a relato,
Demonstrar empatia,
auto-avaliação,
Descrever,
mediar,
Espírito de adaptação,
Resolução de problemas,
Motivação,
Tenacidade,
Orientação ao objetivo,
Resistência ao estresse,
Trabalho em equipe,
Criatividade,
Proatividade,
Atenção aos detalhes,
Flexibilidade,
Resiliência,
Liderança,
Integridade,
Empatia,
Coragem,
Competência,
Comunicação eficaz,
Iniciativa,
Dinamismo,
Precisão,
Planejamento,
Organização,
autoconfiança,
Autonomia,
Sensibilidade,
Respeito,
Paciência,
Cordialidade,
Concentração,
Inteligência emocional,
Flexibilidade cognitiva,
Negociação,
autocontrole,
civilidade,
desenvoltura social,
gerenciamento de crise,
ensinar,
persuasão,
colaboração,
adaptabilidade,
gestão do tempo,
tolerância,
automotivação,
dedicação,
aprendizado contínuo,
autogerenciamento,
capacidade de dialogar,
senso de dono